meal,prep_time,region,url
Chicken & Stuffing Sarnie With Plum Chutney,30 mins,British,https://gousto.co.uk/cookbook/chicken-recipes/chicken-stuffing-sarnie-with-plum-chutney
"Chicken, Date & Tamarind Curry With Kachumber",40 mins,Indian,https://gousto.co.uk/cookbook/chicken-recipes/chicken-date-tamarind-curry
Open Steak Sandwich With Balsamic Onions & Chips,35 mins,British,https://gousto.co.uk/cookbook/beef-recipes/open-steak-sandwich-balsamic-onions-chips
Simply Perfect Beef Spag Bol,25 mins,Italian,https://gousto.co.uk/cookbook/beef-recipes/simply-perfect-beef-spag-bol
"Roast Duck Leg, Truffled Cauliflower Cheese & Roast Potatoes",80 mins,British,https://gousto.co.uk/cookbook/recipes/roast-duck-leg-truffled-cauliflower-cheese-roast-potatoes
"21-Day Aged Fillet Steak, Chips & Creamy Peppercorn Sauce",35 mins,French,https://gousto.co.uk/cookbook/recipes/21-day-aged-fillet-steak-chips-creamy-peppercorn-sauce
"One-Pot Haddock, Leek & Cheddar Chowder",25 mins,British,https://gousto.co.uk/cookbook/fish-recipes/one-pot-haddock-leek-cheddar-chowder
Paneer Butter Masala With Coriander Naan,30 mins,Indian,https://gousto.co.uk/cookbook/vegetarian-recipes/paneer-butter-masala-with-coriander-naan
Paneer Jalfrezi With Buttery Cardamom Rice & Naan,40 mins,Indian,https://gousto.co.uk/cookbook/recipes/paneer-jalfrezi-with-buttery-cardamom-rice-naan
Aromatic Sri Lankan-Style Chicken Curry,30 mins,Asian,https://gousto.co.uk/cookbook/chicken-recipes/aromatic-sri-lankan-chicken-curry
Smoky Spanish Chicken With Patatas Bravas & Aioli,30 mins,Spanish,https://gousto.co.uk/cookbook/chicken-recipes/smoky-spanish-chicken-patatas-bravas-aioli
The Ultimate Vegan Stack Burger,35 mins,American,https://gousto.co.uk/cookbook/vegan-recipes/the-ultimate-vegan-stack-burger
"Lamb Rump, Roasted Crushed Potatoes & Mint Salsa Verde",45 mins,British,https://gousto.co.uk/cookbook/lamb-recipes/lamb-rump-roasted-crushed-potatoes-mint-salsa-verde
"Goan Fish & Spinach Curry, Coriander Rice",20 mins,Indian,https://gousto.co.uk/cookbook/fish-recipes/goan-fish-spinach-curry-coriander-rice
Creamy King Prawn Linguine,20 mins,Italian,https://gousto.co.uk/cookbook/recipes/creamy-king-prawn-linguine
Bacon Cheeseburger With Garlic Butter Fries And Truffle Mayo,35 mins,American,https://gousto.co.uk/cookbook/recipes/bacon-cheeseburger-garlic-butter-fries-truffle-mayo
3 Cheese Veg-Packed Wholewheat Pasta Bake,25 mins,Italian,https://gousto.co.uk/cookbook/recipes/3-cheese-veg-packed-wholewheat-pasta-bake
Amalfi Risotto With Jumbo King Prawns,40 mins,Italian,https://gousto.co.uk/cookbook/fish-recipes/amalfi-risotto-with-jumbo-prawns
Sri Lankan Coconut Dal With Aubergine Pickle,30 mins,South Asian,https://gousto.co.uk/cookbook/vegan-recipes/sri-lankan-coconut-dal-with-aubergine-pickle
"Duck Breast, Braised Red Cabbage, Potato & Parsnip Gratin",75 mins,French,https://gousto.co.uk/cookbook/recipes/duck-breast-braised-red-cabbage-potato-parsnip-gratin
